Original Name,Marke,Branche,New Name
240229_Sounds_großes_Hörexperiment/consumer/nintendo_switch_consumer-009.mp3,Nintendo,Consumer,/31/5.mp3
240229_Sounds_großes_Hörexperiment/Mobility/BVG_WDB_Mobility-002.mp3,Bvg,Mobility,/31/6.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_Vision_consumer-084.mp3,Apple,Consumer,/31/7.mp3
240229_Sounds_großes_Hörexperiment/health/medicaldevices_health-003.mp3,Medicaldevices,Health,/32/1.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-019.mp3,Sil,Future,/32/2.mp3
240229_Sounds_großes_Hörexperiment/os/Apple_iphoneXs_OS-002.mp3,Apple,Os,/32/3.mp3
240229_Sounds_großes_Hörexperiment/Mobility/hyundai_WDB_Mobility-002.mp3,Hyundai,Mobility,/32/4.mp3
240229_Sounds_großes_Hörexperiment/home/applehomepod_home-021.mp3,Applehomepod,Home,/32/5.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_Watch_consumer-008.mp3,Apple,Consumer,/32/6.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-024.mp3,Sil,Future,/32/7.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_airpods_consumer-003.mp3,Apple,Consumer,/33/1.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_Watch_consumer-025.mp3,Apple,Consumer,/33/2.mp3
240229_Sounds_großes_Hörexperiment/os/Windows_Phone_OS-005.mp3,Windows,Os,/33/3.mp3
240229_Sounds_großes_Hörexperiment/os/Windows_11_OS-033.mp3,Windows,Os,/33/4.mp3
240229_Sounds_großes_Hörexperiment/consumer/Nintendo_Wii_consumer-006.mp3,Nintendo,Consumer,/33/5.mp3
240229_Sounds_großes_Hörexperiment/os/huawei_OS-005.mp3,Huawei,Os,/33/6.mp3
240229_Sounds_großes_Hörexperiment/apps/GoogleMeet_Apps-010.mp3,Googlemeet,Apps,/33/7.mp3
240229_Sounds_großes_Hörexperiment/os/windows_10_OS-044.mp3,Windows,Os,/34/1.mp3
240229_Sounds_großes_Hörexperiment/home/MieleHerd_Home-001.mp3,Mieleherd,Home,/34/2.mp3
240229_Sounds_großes_Hörexperiment/apps/steam_apps-066.mp3,Steam,Apps,/34/3.mp3
240229_Sounds_großes_Hörexperiment/health/AVEAventilator_health-001.mp3,Aveaventilator,Health,/34/4.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_Vision_consumer-094.mp3,Apple,Consumer,/34/5.mp3
240229_Sounds_großes_Hörexperiment/consumer/Jabra_Consumer-001.mp3,Jabra,Consumer,/34/6.mp3
240229_Sounds_großes_Hörexperiment/home/Bose_SmartSpeaker_home-008.mp3,Bose,Home,/34/7.mp3
240229_Sounds_großes_Hörexperiment/Future/sil_future-070.mp3,Sil,Future,/35/1.mp3
240229_Sounds_großes_Hörexperiment/Mobility/Mercedes_Mobility-021.mp3,Mercedes,Mobility,/35/2.mp3
240229_Sounds_großes_Hörexperiment/os/oppo_OS-016.mp3,Oppo,Os,/35/3.mp3
240229_Sounds_großes_Hörexperiment/Mobility/Skoda_wdb_mobility-014.mp3,Skoda,Mobility,/35/4.mp3
240229_Sounds_großes_Hörexperiment/Mobility/DB_WDB_Mobility-007.mp3,Db,Mobility,/35/5.mp3
240229_Sounds_großes_Hörexperiment/apps/viber_apps-002.mp3,Viber,Apps,/35/6.mp3
240229_Sounds_großes_Hörexperiment/consumer/Sony_Box_Consumer-001.mp3,Sony,Consumer,/35/7.mp3
240229_Sounds_großes_Hörexperiment/Mobility/VOLVO_mobility-010.mp3,Volvo,Mobility,/36/1.mp3
240229_Sounds_großes_Hörexperiment/consumer/Apple_Vision_consumer-004.mp3,Apple,Consumer,/36/2.mp3
240229_Sounds_großes_Hörexperiment/health/löwenstein_health-006.mp3,Löwenstein,Health,/36/3.mp3
240229_Sounds_großes_Hörexperiment/apps/ethona_apps-002.mp3,Ethona,Apps,/36/4.mp3
240229_Sounds_großes_Hörexperiment/os/Apple_iphoneXs_OS-011.mp3,Apple,Os,/36/5.mp3
240229_Sounds_großes_Hörexperiment/health/medicaldevices_health-015.mp3,Medicaldevices,Health,/36/6.mp3
